Name,Out Datetime,In Datetime,Voltage (kV),Duration (minutes),Outage Type,Cause,year,outage_year,threshold
Converter 4 tap to Celilo-Sylmar Pole No 4 1000kV line,2012-01-28 06:17:00,2012-01-28 11:11:00,1000.0,294,Auto,Other,2012,{2012},49487.0
Taft-Bell No 1 500kV line,2012-01-30 06:55:00,2012-01-30 17:15:00,500.0,620,Auto,Weather,2012,{2012},49487.0
Captain Jack-Malin No 1 500kV line,2012-01-31 06:02:00,2012-01-31 06:04:00,500.0,2,Auto,Other,2012,{2012},49487.0
Cougar-Carmen Smith section of Cougar-Thurston No 1 115kV line,2012-02-07 08:40:00,2012-02-07 15:04:00,115.0,384,Auto,Other,2012,{2012},49487.0
Cougar-Thurston No 1 115kV line,2012-02-07 08:40:00,2012-02-07 15:04:00,115.0,384,Auto,Other,2012,{2012},49487.0
Driscoll-Astoria No 1 115kV line,2012-02-08 09:44:00,2012-02-09 15:54:00,115.0,1810,Auto,Other,2012,{2012},49487.0
Driscoll-Knappa section of Driscoll-Astoria No 1 115kV line,2012-02-08 09:44:00,2012-02-08 10:17:00,115.0,33,Auto,Other,2012,{2012},49487.0
Fern Hill-Astoria section of Driscoll-Astoria No 1 115kV line,2012-02-08 09:44:00,2012-02-09 15:54:00,115.0,1810,Auto,Other,2012,{2012},49487.0
Knappa-Fern Hill section of Driscoll-Astoria No 1 115kV line,2012-02-08 09:44:00,2012-02-08 10:17:00,115.0,33,Auto,Other,2012,{2012},49487.0
Celilo-Sylmar Pole No 3 1000kV line,2012-02-13 11:10:00,2012-02-18 15:34:00,1000.0,7464,Auto,Other,2012,{2012},49487.0
Converter 1 tap to Celilo-Sylmar Pole No 3 1000kV line,2012-02-13 11:10:00,2012-02-18 15:34:00,1000.0,7464,Auto,Other,2012,{2012},49487.0
Converter 3 tap to Celilo-Sylmar Pole No 3 1000kV line,2012-02-13 11:10:00,2012-02-18 15:34:00,1000.0,7464,Auto,Other,2012,{2012},49487.0
Celilo-Sylmar Pole No 4 1000kV line,2012-02-13 11:10:00,2012-02-18 15:34:00,1000.0,7464,Auto,Other,2012,{2012},49487.0
Converter 2 tap to Celilo-Sylmar Pole No 4 1000kV line,2012-02-13 11:10:00,2012-02-18 15:34:00,1000.0,7464,Auto,Other,2012,{2012},49487.0
Converter 4 tap to Celilo-Sylmar Pole No 4 1000kV line,2012-02-13 11:10:00,2012-02-18 15:34:00,1000.0,7464,Auto,Other,2012,{2012},49487.0
Tillamook-PACW Astoria No 1 115kV line,2012-02-18 01:06:00,2012-02-18 01:52:00,115.0,46,Auto,Other,2012,{2012},49487.0
Warrenton-PACW Astoria section of Tillamook-PACW Astoria No 1 115kV line,2012-02-18 01:06:00,2012-02-18 01:52:00,115.0,46,Auto,Other,2012,{2012},49487.0
Shepherds Flat-Slatt No 2 230kV line,2012-02-21 11:19:00,2012-02-21 11:34:00,230.0,15,Auto,Other,2012,{2012},49487.0
Shepherds Flat-Slatt No 1 230kV line,2012-02-21 20:12:00,2012-02-22 09:47:00,230.0,815,Auto,Other,2012,{2012},49487.0
Pearl-Marion No 1 500kV line,2012-02-22 09:05:00,2012-02-22 09:22:00,500.0,17,Auto,Other,2012,{2012},49487.0
Dworshak-Taft No 1 500kV line,2012-02-22 10:21:00,2012-02-22 10:24:00,500.0,3,Auto,Other,2012,{2012},49487.0
Diamond Lake tap to Sacheen-Albeni Falls No 1 115kV line,2012-02-22 11:10:00,2012-02-22 13:56:00,115.0,166,Auto,Other,2012,{2012},49487.0
Diamond Lake-Albeni Falls section of Sacheen-Albeni Falls No 1 115kV line,2012-02-22 11:10:00,2012-02-22 12:39:00,115.0,89,Auto,Other,2012,{2012},49487.0
Sacheen-Albeni Falls No 1 115kV line,2012-02-22 11:10:00,2012-02-22 12:39:00,115.0,89,Auto,Other,2012,{2012},49487.0
Sacheen-Diamond Lake section of Sacheen-Albeni Falls No 1 115kV line,2012-02-22 11:10:00,2012-02-22 12:39:00,115.0,89,Auto,Other,2012,{2012},49487.0
Dworshak-Taft No 1 500kV line,2012-02-22 12:41:00,2012-02-22 12:44:00,500.0,3,Auto,Other,2012,{2012},49487.0
Noxon AVA-Hot Springs No 2 230kV line,2012-02-23 06:13:00,2012-02-23 20:26:00,230.0,853,Auto,Other,2012,{2012},49487.0
Port Angeles-Sappho No 1 115kV line,2012-02-25 05:03:00,2012-02-25 11:45:00,115.0,402,Auto,Tree Blown,2012,{2012},49487.0
Port Angeles-Silverado section of Port Angeles-Sappho No 1 115kV line,2012-02-25 05:03:00,2012-02-25 11:45:00,115.0,402,Auto,Tree Blown,2012,{2012},49487.0
Silverado tap to Port Angeles-Sappho No 1 115kV line,2012-02-25 05:03:00,2012-02-25 11:45:00,115.0,402,Auto,Tree Blown,2012,{2012},49487.0
Silverado-Sappho section of Port Angeles-Sappho No 1 115kV line,2012-02-25 05:03:00,2012-02-25 11:45:00,115.0,402,Auto,Tree Blown,2012,{2012},49487.0
Phalen Gulch-Central Ferry 230kV line,2012-03-01 10:41:00,2012-03-01 16:09:00,230.0,328,Auto,Other,2012,{2012},49487.0
